id,name,api_football_id,fd_name,rating_mu,rating_sigma
1053,Cerro Largo,2369,,1495.482139709602,5.762479060154384
1055,Defensor Sporting,2350,,1506.7759836052453,6.174038468441834
1058,Atletico Torque,2365,,1503.988773203306,7.785874213741383
1061,Albion FC,2378,,1512.0800107702069,46.57427764847356
1065,Union Espanola,2321,,1493.8853134364404,3.4233315724256075
1066,Colo Colo,2315,,1507.61166725815,3.237681228018842
1067,A. Italiano,2329,,1502.5376109502172,3.259437023238761
1069,Nublense,2337,,1501.5335339238256,3.2973051555028112
1070,Coquimbo Unido,2330,,1512.2237400400156,3.4346217348809374
1071,Deportes Copiapo,2343,,1490.9338639910009,6.224757672690921
1072,O'Higgins,2320,,1508.4127500861111,3.2964822538412912
1074,Huachipato,2328,,1502.0300013749302,3.215955091457471
1075,Palestino,2318,,1506.3003930126335,3.0476626045565527
1076,Union La Calera,2326,,1498.9992958610321,3.241626415097647
1077,Everton de Vina,2325,,1497.5298582739474,3.2846720387926442
1078,Universidad de Chile,2323,,1510.3272470807256,3.1267513395053834
1079,Cobresal,2331,,1499.6489959905487,3.244870044290466
1080,U. Catolica,2994,,1508.9298868841397,3.293714112002267
1081,Curico Unido,2316,,1474.311046009896,5.513072276734504
1082,Magallanes,2336,,1484.5516048957995,7.362475741260223
1084,D. La Serena,2341,,1498.64920664374,4.166843114282154
1086,Santiago Wanderers,2333,,1472.7510157184483,7.819625585000863
1087,Universidad de Concepcion,2324,,1496.584196625391,7.372516996679698
1097,Independiente,15702,,1513.9861552209443,2.347339781274966
1111,UTC Cajamarca,2539,,1503.568337921372,3.2342383202982656
1112,Deportivo Garcilaso,20960,,1506.4413676968597,3.3901705294817885
1113,Cienciano,2562,,1510.5649913975653,3.0196755169579186
1114,Comerciantes Unidos,2558,,1503.6814524217514,4.505941435105591
1115,Cultural Santa Rosa,2572,,1515.3749885806328,4.048992115409884
1117,Sporting Cristal,2546,,1513.8487782407751,2.9362060450250516
1118,ADT,10492,,1508.1335808749336,3.221642050091661
1120,Universitario,2540,,1518.4165077212094,3.1598733197940136
1121,FBC Melgar,2554,,1511.9147136911677,3.0005769219903153
1122,Cusco,10013,,1514.0532581289187,3.2412814004192207
1123,Alianza Lima,2553,,1515.2434645817837,2.814026132076762
1125,Atletico Grau,2564,,1501.0986282969018,3.1055696659645324
1126,Alianza Atletico,2560,,1509.5281915213986,3.1052289325956393
1127,Sport Huancayo,2555,,1502.6985688762384,3.1521787159506633
1128,Sport Boys,2544,,1502.8244772738092,3.2408963313055272
1137,Rayo Zuliano,16847,,1516.7042533204308,3.6776615914013324
1138,Portuguesa FC,2814,,1518.906419277795,3.1425383688870285
1139,Monagas SC,2811,,1517.5295440004732,2.9814710206982795
1140,Metropolitanos FC,2825,,1522.3984284338674,2.8776939595204154
1142,UCV,2840,,1526.0852620175626,3.1374957610927896
1143,Deportivo Tachira FC,2807,,1525.8438657981342,2.8391029943778294
1144,Estudiantes de Merida FC,2818,,1519.908913085152,3.1403772363363043
1145,Puerto Cabello,2827,,1525.8799711963406,2.823155391051528
1146,Carabobo FC,2810,,1525.7016414875623,2.792111349564947
1148,Zamora FC,2806,,1519.2676674895808,3.11429071514827
1149,Caracas FC,2808,,1520.5766510335666,2.8749572473065848
1150,Deportivo La Guaira,2813,,1530.061002194739,3.0144063046676837
1156,Trujillanos FC,2815,,1487.2106053656353,12.4762189643227
1160,NK Osijek,616,,1544.7506413900862,3.0368348165596726
1162,Dinamo Zagreb,620,,1560.1412602483636,3.04607491918786
1163,Istra 1961,1016,,1549.90063879579,3.045433637511825
1164,HNK Gorica,1068,,1547.3848615035288,3.1170980204119187
1165,NK Varazdin,1483,,1548.3180033969932,3.0201405071072767
1166,HNK Rijeka,561,,1550.2215799947876,2.94530392563772
1167,NK Lokomotiva Zagreb,1017,,1545.328150496615,3.026827159966272
1168,HNK Hajduk Split,608,,1554.1761094357203,3.1141283016234693
1169,NK Slaven Belupo,1018,,1548.42822435743,3.0617517938300693
1172,Enosis,3399,,1483.635149995738,6.741859910727682
1173,Apoel Nicosia,2247,,1521.0965681374962,3.840460662276246
1175,Aris,3408,,1521.735319024187,3.9032925099398716
1177,AEL,3396,,1508.4415804035575,4.770100693405955
1178,Omonia Aradippou,3416,,1512.0203016150567,8.550014605459808
1179,Anorthosis,2269,,1514.1529352422053,4.598186752393852
1180,Apollon Limassol,602,,1525.2368930202683,4.158271266604856
1181,AEK Larnaca,614,,1530.1160138182095,3.7990451279369752
1182,Omonia Nicosia,3402,,1531.1336561129772,3.605453404989887
1183,Ethnikos Achna,3412,,1503.49255541546,4.9640709832742
1185,Pafos,3403,,1532.9411419376795,3.949311432420016
1189,Olympiakos,3415,,1505.0160774338297,7.717714583895213
1190,Akritas,3406,,1497.660969554517,10.287716665858191
1193,Nyiregyhaza,2403,,1505.7251438856126,4.655183652019148
1194,Gyori ETO FC,2402,,1520.429723484696,5.187254960891051
1195,Zalaegerszegi TE,2414,,1508.7507666290533,3.405421953970007
1196,MTK Budapest,2396,,1499.74233254617,3.5239472308045623
1197,Ujpest,2255,,1502.9458848313866,3.417764942261982
1198,Puskas Academy,2391,,1506.2546168289857,3.5591146575172394
1199,Diosgyori VTK,2393,,1498.101694157693,3.616209249499747
1200,Paks,2390,,1509.1235485736215,3.5044210695185494
1201,Kecskeméti TE,5111,,1491.4985375990464,4.377948860282216
1202,Fehérvár FC,610,,1493.364814473843,3.9461166139147075
1203,Ferencvarosi TC,651,,1525.8314522593757,4.231207304403381
1204,Debreceni VSC,2392,,1507.4188486289286,3.444959030124612
1205,Mezokovesd-zsory,2389,,1489.5828412198048,4.939832493032668
1206,Kisvarda FC,2394,,1504.8321593874798,3.8913766778134034
1207,Vasas,675,,1509.6044999706892,7.783255369618379
1208,Budapest Honved,576,,1502.9744452966174,5.890006007740053
1210,Budafoki LC,2399,,1472.9109263455034,8.512640713096287
1231,Skalica,10542,,1498.6396064981675,4.414997109687036
1232,Zemplín Michalovce,3552,,1505.8921605952619,4.268684084974283
1233,Podbrezová,3548,,1512.6146156113346,4.119056684720715
1234,Žilina,3554,,1515.0008770437616,4.0538546219551135
1235,Komárno,10535,,1502.8815271934075,6.130398965948155
1236,Slovan Bratislava,656,,1526.1569109783875,4.060308628366157
1237,FK Košice,10534,,1508.3544561041683,4.62417705722047
1238,Dunajska Streda,2257,,1519.2635378113614,4.1154905322514335
1239,Spartak Trnava,1120,,1512.65238116792,4.001221822996315
1240,AS Trencin,655,,1502.420229938875,4.1551996032839424
1241,Ružomberok,3549,,1499.8002214213116,4.073268666242157
1246,Tatran Prešov,10550,,1433.9723844388666,31.105889919269334
1251,Celje,4360,,1532.6660803991597,3.240225522269682
1252,Bravo,4359,,1521.480232490299,3.2987668893341464
1253,Maribor,552,,1527.7959613216701,3.3726491609219806
1255,Mura,4197,,1514.4412237987594,3.417080601047418
1257,Radomlje,4378,,1516.4466853832926,3.4063730519289783
1258,Koper,4374,,1526.412017196539,3.264893978509849
1259,Olimpija Ljubljana,677,,1525.2153722723194,3.344716144840619
1260,Primorje,14007,,1509.6856016686081,5.4463466201443635
1263,Aluminij,4358,,1515.1355804494801,4.184892416614273
1267,Araz,11238,,1498.670807563342,4.721325705929735
1268,Qarabag,556,,1528.773893882101,5.766861309084016
1269,Zira,648,,1504.2815163466132,4.682922842185037
1271,Neftchi Baku,2270,,1501.9919478512832,4.278326567951615
1272,Turan,5499,,1504.5669991502557,4.313567698261594
1273,Sumqayıt,5503,,1488.222247421551,4.217033166589438
1274,Kapaz,5490,,1492.1503737935955,4.936624167231185
1275,Sabah FA,13976,,1514.9540968916388,4.342167861590988
1276,Keshla FC,666,,1489.3899343313624,4.740655457365829
1277,Qabala,627,,1483.8934644579765,5.820281736080737
1279,Shakhtar Donetsk,550,,1545.7606603383856,5.157485933703006
1280,Kryvbas KR,6489,,1523.5515685025896,5.515205427918946
1282,Zorya Luhansk,599,,1516.5951436834187,5.444507708634613
1284,Veres Rivne,6501,,1512.4588759797368,6.017682359447821
1285,Karpaty,3617,,1522.056001270133,6.9180287016077875
1286,Obolon'-Brovar,3630,,1508.7179633692665,7.021081140238274
1287,Kolos Kovalivka,3627,,1523.8615785975148,5.590189696304925
1288,Ruh Lviv,3632,,1511.1543978303057,5.848912540272785
1289,Polessya,6496,,1534.681681900567,5.809015022109661
1291,LNZ Cherkasy,17161,,1531.1966559266568,6.119570529454763
1292,Oleksandria,3619,,1506.7275611323032,6.025272484748769
1293,Dynamo Kyiv,572,,1533.4805694815216,4.724119564999951
